game_id,turn,unit_advantage_player,attack_advantage_player,health_advantage_player,unit_delta_p0_minus_p1,attack_delta_p0_minus_p1,health_delta_p0_minus_p1
0010ffd555fd4653bb248124a54508d2,1,,,,,,
0010ffd555fd4653bb248124a54508d2,2,1.0,1.0,1.0,-1.0,-1.0,-2.0
0010ffd555fd4653bb248124a54508d2,3,,,,0.0,0.0,0.0
0010ffd555fd4653bb248124a54508d2,4,,,,0.0,0.0,0.0
0010ffd555fd4653bb248124a54508d2,5,0.0,,0.0,1.0,0.0,5.0
0010ffd555fd4653bb248124a54508d2,6,0.0,0.0,0.0,1.0,2.0,5.0
0010ffd555fd4653bb248124a54508d2,7,0.0,0.0,0.0,2.0,5.0,3.0
0010ffd555fd4653bb248124a54508d2,8,0.0,0.0,0.0,4.0,11.0,9.0
0010ffd555fd4653bb248124a54508d2,9,0.0,0.0,0.0,3.0,13.0,8.0
001a15ed5b2b463994a7a86d580367d9,1,1.0,1.0,1.0,-1.0,-1.0,-2.0
001a15ed5b2b463994a7a86d580367d9,2,1.0,,,-1.0,0.0,0.0
001a15ed5b2b463994a7a86d580367d9,3,,0.0,0.0,0.0,1.0,4.0
001a15ed5b2b463994a7a86d580367d9,4,0.0,0.0,0.0,2.0,5.0,10.0
001a15ed5b2b463994a7a86d580367d9,5,0.0,0.0,0.0,3.0,5.0,11.0
001a15ed5b2b463994a7a86d580367d9,6,0.0,0.0,0.0,1.0,2.0,3.0
001a15ed5b2b463994a7a86d580367d9,7,1.0,1.0,0.0,-2.0,-3.0,1.0
001a15ed5b2b463994a7a86d580367d9,8,1.0,0.0,0.0,-1.0,2.0,5.0
001a15ed5b2b463994a7a86d580367d9,9,0.0,0.0,0.0,1.0,5.0,4.0
001a15ed5b2b463994a7a86d580367d9,10,0.0,0.0,1.0,1.0,5.0,-1.0
001a15ed5b2b463994a7a86d580367d9,11,,,1.0,0.0,0.0,-4.0
001a15ed5b2b463994a7a86d580367d9,12,,,,,,
00366d511a2e47c5aec2b4e410eea2df,1,,,,,,
00366d511a2e47c5aec2b4e410eea2df,2,,1.0,1.0,0.0,-1.0,-1.0
00366d511a2e47c5aec2b4e410eea2df,3,1.0,1.0,1.0,-1.0,-3.0,-3.0
00366d511a2e47c5aec2b4e410eea2df,4,1.0,1.0,1.0,-2.0,-4.0,-4.0
00366d511a2e47c5aec2b4e410eea2df,5,1.0,1.0,1.0,-2.0,-4.0,-2.0
00366d511a2e47c5aec2b4e410eea2df,6,1.0,1.0,1.0,-3.0,-8.0,-7.0
00366d511a2e47c5aec2b4e410eea2df,7,1.0,1.0,1.0,-1.0,-12.0,-9.0
00366d511a2e47c5aec2b4e410eea2df,8,1.0,1.0,1.0,-2.0,-12.0,-2.0
00366d511a2e47c5aec2b4e410eea2df,9,,1.0,,0.0,-4.0,0.0
00366d511a2e47c5aec2b4e410eea2df,10,0.0,0.0,0.0,2.0,4.0,5.0
00366d511a2e47c5aec2b4e410eea2df,11,,0.0,0.0,0.0,1.0,1.0
00366d511a2e47c5aec2b4e410eea2df,12,,0.0,0.0,0.0,1.0,4.0
00376759c7844e48a33c7cbc589ff1e7,1,1.0,1.0,1.0,-1.0,-1.0,-1.0
00376759c7844e48a33c7cbc589ff1e7,2,1.0,,1.0,-1.0,0.0,-1.0
00376759c7844e48a33c7cbc589ff1e7,3,1.0,,1.0,-1.0,0.0,-2.0
00376759c7844e48a33c7cbc589ff1e7,4,1.0,1.0,1.0,-2.0,-3.0,-5.0
00376759c7844e48a33c7cbc589ff1e7,5,1.0,1.0,1.0,-1.0,-1.0,-2.0
00376759c7844e48a33c7cbc589ff1e7,6,1.0,1.0,1.0,-4.0,-5.0,-9.0
00376759c7844e48a33c7cbc589ff1e7,7,1.0,1.0,1.0,-3.0,-1.0,-3.0
00376759c7844e48a33c7cbc589ff1e7,8,0.0,0.0,0.0,1.0,7.0,7.0
00376759c7844e48a33c7cbc589ff1e7,9,0.0,0.0,1.0,1.0,7.0,-1.0
00376759c7844e48a33c7cbc589ff1e7,10,0.0,0.0,1.0,1.0,1.0,-4.0
00376759c7844e48a33c7cbc589ff1e7,11,,,,,,
003c1387ea7a45fbb48c4bcaf925c745,1,,,,0.0,0.0,0.0
003c1387ea7a45fbb48c4bcaf925c745,2,,0.0,1.0,0.0,1.0,-1.0
003c1387ea7a45fbb48c4bcaf925c745,3,,0.0,1.0,0.0,2.0,-1.0
003c1387ea7a45fbb48c4bcaf925c745,4,,0.0,0.0,0.0,2.0,1.0
003c1387ea7a45fbb48c4bcaf925c745,5,0.0,0.0,,1.0,2.0,0.0
003c1387ea7a45fbb48c4bcaf925c745,6,,1.0,1.0,0.0,-2.0,-6.0
003c1387ea7a45fbb48c4bcaf925c745,7,1.0,,1.0,-1.0,0.0,-4.0
003c1387ea7a45fbb48c4bcaf925c745,8,1.0,1.0,,-2.0,-2.0,0.0
003c1387ea7a45fbb48c4bcaf925c745,9,1.0,1.0,1.0,-4.0,-10.0,-13.0
003c1387ea7a45fbb48c4bcaf925c745,10,1.0,1.0,1.0,-5.0,-12.0,-18.0
003c1387ea7a45fbb48c4bcaf925c745,11,1.0,1.0,1.0,-4.0,-10.0,-17.0
003c1387ea7a45fbb48c4bcaf925c745,12,1.0,1.0,1.0,-4.0,-17.0,-23.0
003c1387ea7a45fbb48c4bcaf925c745,13,,,,,,
00479b5e5f624c1188b74088fa39468a,1,,,,,,
00479b5e5f624c1188b74088fa39468a,2,1.0,1.0,1.0,-2.0,-4.0,-5.0
00479b5e5f624c1188b74088fa39468a,3,1.0,1.0,1.0,-2.0,-4.0,-6.0
00479b5e5f624c1188b74088fa39468a,4,1.0,1.0,1.0,-2.0,-4.0,-7.0
00479b5e5f624c1188b74088fa39468a,5,1.0,1.0,1.0,-1.0,-3.0,-6.0
00479b5e5f624c1188b74088fa39468a,6,1.0,1.0,1.0,-2.0,-10.0,-11.0
00479b5e5f624c1188b74088fa39468a,7,1.0,1.0,1.0,-3.0,-14.0,-19.0
00479b5e5f624c1188b74088fa39468a,8,1.0,1.0,1.0,-4.0,-17.0,-22.0
00479b5e5f624c1188b74088fa39468a,9,1.0,1.0,1.0,-4.0,-13.0,-13.0
00479b5e5f624c1188b74088fa39468a,10,1.0,1.0,1.0,-2.0,-8.0,-16.0
00479b5e5f624c1188b74088fa39468a,11,1.0,1.0,1.0,-2.0,-18.0,-20.0
00479b5e5f624c1188b74088fa39468a,12,1.0,1.0,1.0,-4.0,-23.0,-23.0
00479b5e5f624c1188b74088fa39468a,13,,,,,,
0050cd647d264a039c5a795a100cadf5,1,0.0,0.0,0.0,1.0,1.0,2.0
0050cd647d264a039c5a795a100cadf5,2,0.0,0.0,0.0,2.0,3.0,5.0
0050cd647d264a039c5a795a100cadf5,3,0.0,0.0,0.0,2.0,4.0,6.0
0050cd647d264a039c5a795a100cadf5,4,0.0,0.0,0.0,2.0,3.0,5.0
0050cd647d264a039c5a795a100cadf5,5,0.0,0.0,0.0,2.0,4.0,4.0
0050cd647d264a039c5a795a100cadf5,6,0.0,0.0,0.0,2.0,3.0,3.0
0050cd647d264a039c5a795a100cadf5,7,0.0,1.0,1.0,1.0,-1.0,-2.0
0050cd647d264a039c5a795a100cadf5,8,,1.0,1.0,0.0,-7.0,-3.0
0050cd647d264a039c5a795a100cadf5,9,,1.0,1.0,0.0,-4.0,-2.0
