game_id,metric,first_advantage_turn,advantage_player_index,advantage_deck_id
0010ffd555fd4653bb248124a54508d2,unit,2,1,D002
0010ffd555fd4653bb248124a54508d2,attack,2,1,D002
0010ffd555fd4653bb248124a54508d2,health,2,1,D002
001a15ed5b2b463994a7a86d580367d9,unit,1,1,D002
001a15ed5b2b463994a7a86d580367d9,attack,1,1,D002
001a15ed5b2b463994a7a86d580367d9,health,1,1,D002
00366d511a2e47c5aec2b4e410eea2df,unit,3,1,D001
00366d511a2e47c5aec2b4e410eea2df,attack,2,1,D001
00366d511a2e47c5aec2b4e410eea2df,health,2,1,D001
00376759c7844e48a33c7cbc589ff1e7,unit,1,1,D002
00376759c7844e48a33c7cbc589ff1e7,attack,1,1,D002
00376759c7844e48a33c7cbc589ff1e7,health,1,1,D002
003c1387ea7a45fbb48c4bcaf925c745,unit,5,0,D001
003c1387ea7a45fbb48c4bcaf925c745,attack,2,0,D001
003c1387ea7a45fbb48c4bcaf925c745,health,2,1,D002
00479b5e5f624c1188b74088fa39468a,unit,2,1,D001
00479b5e5f624c1188b74088fa39468a,attack,2,1,D001
00479b5e5f624c1188b74088fa39468a,health,2,1,D001
0050cd647d264a039c5a795a100cadf5,unit,1,0,D002
0050cd647d264a039c5a795a100cadf5,attack,1,0,D002
0050cd647d264a039c5a795a100cadf5,health,1,0,D002
00549fe830db43c791edd44c1ea302c8,unit,3,0,D002
00549fe830db43c791edd44c1ea302c8,attack,3,0,D002
00549fe830db43c791edd44c1ea302c8,health,3,0,D002
005566708a614e089e8674bf4c340f78,unit,2,1,D002
005566708a614e089e8674bf4c340f78,attack,2,1,D002
005566708a614e089e8674bf4c340f78,health,2,1,D002
0067fc6af775418d9732ede317838095,unit,2,1,D001
0067fc6af775418d9732ede317838095,attack,3,1,D001
0067fc6af775418d9732ede317838095,health,2,1,D001
006a31d483c343a98d7632a8722a88cf,unit,9,0,D002
006a31d483c343a98d7632a8722a88cf,attack,6,1,D001
006a31d483c343a98d7632a8722a88cf,health,1,1,D001
007e14a6c58c42e8856aeae1907591e4,unit,1,0,D002
007e14a6c58c42e8856aeae1907591e4,attack,1,0,D002
007e14a6c58c42e8856aeae1907591e4,health,1,0,D002
00be8d6d9acb47bca63eca423d349109,unit,1,1,D002
00be8d6d9acb47bca63eca423d349109,attack,1,1,D002
00be8d6d9acb47bca63eca423d349109,health,1,1,D002
00bea3ce877a4b99865fbb3294ce511f,unit,1,0,D002
00bea3ce877a4b99865fbb3294ce511f,attack,1,0,D002
00bea3ce877a4b99865fbb3294ce511f,health,1,0,D002
00c6cae49e8448b584f23e6e439380ee,unit,6,0,D002
00c6cae49e8448b584f23e6e439380ee,attack,3,0,D002
00c6cae49e8448b584f23e6e439380ee,health,3,1,D001
00ca0dd7691e4d8b92f027fb45dda67c,unit,2,1,D002
00ca0dd7691e4d8b92f027fb45dda67c,attack,2,1,D002
00ca0dd7691e4d8b92f027fb45dda67c,health,2,1,D002
00cffad068284c0f8b9572846bbaafcb,unit,5,0,D001
00cffad068284c0f8b9572846bbaafcb,attack,3,0,D001
00cffad068284c0f8b9572846bbaafcb,health,2,0,D001
00fd3220bb16466fa7dbbcc13a47fe35,unit,3,0,D001
00fd3220bb16466fa7dbbcc13a47fe35,attack,2,1,D002
00fd3220bb16466fa7dbbcc13a47fe35,health,2,1,D002
010775ed0c2f47fbbceb5dab0b89fcfd,unit,4,0,D002
010775ed0c2f47fbbceb5dab0b89fcfd,attack,4,0,D002
010775ed0c2f47fbbceb5dab0b89fcfd,health,3,0,D002
