game_id,player_index,deck_id,won,transform_count,first_transform_turn,transformed_any
cc3a49e5a6f341d293d9ba904fbc661b,0,D001,False,3,8.0,True
cc3a49e5a6f341d293d9ba904fbc661b,1,D002,True,5,2.0,True
6f8f116620d947188b5bfaac49823b6a,0,D001,False,2,11.0,True
6f8f116620d947188b5bfaac49823b6a,1,D002,True,6,2.0,True
a5ba6cab8d3a42839975adbf71c384df,0,D001,True,1,9.0,True
a5ba6cab8d3a42839975adbf71c384df,1,D002,False,7,5.0,True
75c53869c0d34330b34e7bfe4aaf1e00,0,D001,True,1,6.0,True
75c53869c0d34330b34e7bfe4aaf1e00,1,D002,False,6,2.0,True
e7900cc47b9244ecbdce727c411153db,0,D001,True,3,6.0,True
e7900cc47b9244ecbdce727c411153db,1,D002,False,5,5.0,True
b3fc4573a45047f6bbd5106455f0ad7b,0,D001,True,3,2.0,True
b3fc4573a45047f6bbd5106455f0ad7b,1,D002,False,4,2.0,True
067596ea1d9e43f1855a9ba99f54a8e3,0,D001,True,5,3.0,True
067596ea1d9e43f1855a9ba99f54a8e3,1,D002,False,5,4.0,True
9d1532a8fdc54c91b0fefab761f8cf06,0,D001,True,4,7.0,True
9d1532a8fdc54c91b0fefab761f8cf06,1,D002,False,6,2.0,True
0f813ded10e747078e926364a8a5d91d,0,D001,True,4,6.0,True
0f813ded10e747078e926364a8a5d91d,1,D002,False,2,2.0,True
de14931585f646299a0396478be0f13e,0,D001,True,3,4.0,True
de14931585f646299a0396478be0f13e,1,D002,False,7,5.0,True
13bf90a4915b438ca5a3429511f495a7,0,D001,True,8,2.0,True
13bf90a4915b438ca5a3429511f495a7,1,D002,False,5,2.0,True
584dd506222d489eaec742f1e4529c0a,0,D001,True,1,9.0,True
584dd506222d489eaec742f1e4529c0a,1,D002,False,7,2.0,True
8089d3e197c548349414b83260633804,0,D001,True,4,9.0,True
8089d3e197c548349414b83260633804,1,D002,False,5,6.0,True
66462ac46dc4495f85b0cc2690ddc2eb,0,D001,True,2,4.0,True
66462ac46dc4495f85b0cc2690ddc2eb,1,D002,False,6,3.0,True
70efade110c845d191a30550cddb8b3c,0,D001,True,6,10.0,True
70efade110c845d191a30550cddb8b3c,1,D002,False,4,7.0,True
1ace0b296a444db99e4badd026d31109,0,D001,True,5,8.0,True
1ace0b296a444db99e4badd026d31109,1,D002,False,4,3.0,True
09deb57c604d498fa08d6327b47d0766,0,D001,False,3,3.0,True
09deb57c604d498fa08d6327b47d0766,1,D002,True,6,2.0,True
c44231fd48c0448986de0345c627d302,0,D001,True,4,5.0,True
c44231fd48c0448986de0345c627d302,1,D002,False,2,7.0,True
e2bc7449fd634599bb1ea6a5674d2099,0,D001,True,4,6.0,True
e2bc7449fd634599bb1ea6a5674d2099,1,D002,False,5,2.0,True
f6c71e768d62468ea415bb7034288d60,0,D001,True,4,5.0,True
f6c71e768d62468ea415bb7034288d60,1,D002,False,9,2.0,True
6692efd8e69f43f4ac76a26113bf9816,0,D001,True,2,6.0,True
6692efd8e69f43f4ac76a26113bf9816,1,D002,False,8,2.0,True
79c881912aa84c32ac529a3963270fd8,0,D001,True,4,7.0,True
79c881912aa84c32ac529a3963270fd8,1,D002,False,6,3.0,True
827e49b42a144097af8abe7f0fbfa05c,0,D001,True,6,8.0,True
827e49b42a144097af8abe7f0fbfa05c,1,D002,False,3,4.0,True
ee369a4e80644a7eb079ddbdab2908fa,0,D001,True,4,9.0,True
ee369a4e80644a7eb079ddbdab2908fa,1,D002,False,5,7.0,True
71edd329449a4eb2be6f1c840e9b5d95,0,D001,True,2,9.0,True
71edd329449a4eb2be6f1c840e9b5d95,1,D002,False,4,2.0,True
0f4b192f015541e6b8cd2aee75eedb56,0,D001,True,4,4.0,True
0f4b192f015541e6b8cd2aee75eedb56,1,D002,False,7,2.0,True
96f5d01a8a8b40e882f47175c21bb38f,0,D001,True,5,3.0,True
96f5d01a8a8b40e882f47175c21bb38f,1,D002,False,2,3.0,True
c6f6ffdea60c4b99874f8616e2547d60,0,D001,True,4,2.0,True
c6f6ffdea60c4b99874f8616e2547d60,1,D002,False,4,2.0,True
c57a1ab9ef8c409b921022b13b1c2fc0,0,D001,True,3,5.0,True
c57a1ab9ef8c409b921022b13b1c2fc0,1,D002,False,7,2.0,True
0c431b0f7cd749258a55e562a9cf9518,0,D001,True,3,3.0,True
0c431b0f7cd749258a55e562a9cf9518,1,D002,False,6,3.0,True
11f325a5d97148e69502182406aedda8,0,D001,True,4,6.0,True
11f325a5d97148e69502182406aedda8,1,D002,False,2,6.0,True
8b5e343895cd4cc69d3188fae0896e28,0,D001,True,3,9.0,True
