game_id,seed,created_at,event_count,cards_played,responses_played,attacks_declared,transforms,units_died,triggers_queued,state_based_passes,cards_drawn,healing_done,combat_damage_to_leader,combat_damage_to_unit,effect_damage,winner_index,first_player_index,turn_number,active_player_index,leader_hp_p1,leader_hp_p2,deck_id_p1,deck_id_p2,hand_p1,hand_p2,battlefield_p1,battlefield_p2,rules_version,commit_hash
6790a144028a4b078b6aeca056078daf,478163327,2026-08-24T05:33:31.459075+00:00,385,28,5,24,8,0,47,152,33,0,0,0,0,0,1,14,1,20,17,D001,D002,4,6,3,2,M3,
b3cb9fba62754cc0b05b3e0306fefac8,1051802512,2026-08-24T05:33:31.477532+00:00,354,27,3,21,9,0,44,144,31,0,0,0,0,0,1,12,1,8,25,D001,D002,3,8,1,4,M3,
4a5055d2a6b940328dfd87e61e4fd073,440213415,2026-08-24T05:33:31.497427+00:00,351,29,3,23,7,0,38,141,30,0,0,0,0,1,1,14,1,0,25,D001,D002,6,2,0,5,M3,
33e7d0d0fa8b4e519a2b83293fb2ab8a,136505587,2026-08-24T05:33:31.514405+00:00,387,26,2,26,12,0,46,161,30,0,0,0,0,0,0,11,1,6,21,D001,D002,3,9,1,3,M3,
a2411c8dd05047ad855b1a7de9311a42,939042955,2026-08-24T05:33:31.530049+00:00,387,30,1,27,8,0,44,165,29,0,0,0,0,0,1,13,0,24,0,D001,D002,4,4,5,1,M3,
4896833f7c9e4f04922e866b6e6c5583,854001193,2026-08-24T05:33:31.547044+00:00,416,30,4,26,12,0,53,174,31,0,0,0,0,0,0,12,0,25,0,D001,D002,3,4,4,1,M3,
ebe2641a2fed44eca20cb6b6253e3c0d,1929338154,2026-08-24T05:33:31.566468+00:00,468,31,4,32,12,0,53,200,33,0,0,0,0,0,1,14,1,2,8,D001,D002,1,7,1,2,M3,
339f4f59101940d08574a37a2c8addb6,685731524,2026-08-24T05:33:31.587141+00:00,462,33,3,31,12,0,56,193,34,0,0,0,0,0,1,15,1,21,7,D001,D002,3,5,3,1,M3,
edb1051d7e394c09a15a438ad8bee6f9,1193448329,2026-08-24T05:33:31.606802+00:00,294,25,0,21,4,0,35,121,23,0,0,0,0,0,1,11,0,21,0,D001,D002,1,7,5,0,M3,
b7cdf873d991469881b5d1bc1a4986f7,1445662585,2026-08-24T05:33:31.619805+00:00,432,33,0,29,9,0,53,182,33,0,0,0,0,0,0,14,1,23,2,D001,D002,3,7,3,1,M3,
a995cf5e1b1c4d16847443552a92711e,1631775357,2026-08-24T05:33:31.638919+00:00,420,33,3,26,10,0,58,171,32,0,0,0,0,0,1,13,1,25,13,D001,D002,1,5,4,0,M3,
16b7ab8836fd4350b1a1ff81f96ba03d,1477278577,2026-08-24T05:33:31.656167+00:00,337,27,4,20,7,0,37,140,29,0,0,0,0,0,1,12,0,23,0,D001,D002,3,5,4,2,M3,
667f49b273db4691aa007dd4f721fc98,1973214822,2026-08-24T05:33:31.670598+00:00,392,30,3,24,9,0,46,167,31,0,0,0,0,0,0,12,1,14,9,D001,D002,2,6,4,1,M3,
94e85f881fc146abbbbbc57bbc6a950a,338444264,2026-08-24T05:33:31.687270+00:00,353,27,5,20,8,0,40,143,32,0,0,0,0,0,1,14,0,23,0,D001,D002,2,8,5,1,M3,
c2d5b712d0a84f5e82920be200254e29,825873196,2026-08-24T05:33:31.702254+00:00,384,27,3,25,8,0,43,160,31,0,0,0,0,0,0,12,1,12,25,D001,D002,6,5,1,4,M3,
85549f2022e6439b802f00e034c47bf2,978815630,2026-08-24T05:33:31.721429+00:00,366,27,5,20,11,0,46,148,31,0,0,0,0,0,1,12,1,22,19,D001,D002,3,6,2,5,M3,
7d9f4b47085e4bd68b7804deed5c2a42,999829240,2026-08-24T05:33:31.737675+00:00,300,26,4,15,6,0,37,122,28,0,0,0,0,0,0,12,0,23,0,D001,D002,2,6,4,1,M3,
44f719cd72bc4f2ea7e1f472d8c47b7e,1193887545,2026-08-24T05:33:31.751211+00:00,425,31,6,25,7,0,51,179,33,0,0,0,0,0,0,14,1,12,18,D001,D002,1,5,1,1,M3,
87c59b0a987a4a5ba751f6b866fa8a86,698594025,2026-08-24T05:33:31.769161+00:00,472,34,4,31,11,0,60,198,34,0,0,0,0,0,1,15,0,14,12,D001,D002,2,4,2,1,M3,
78b350236e3a45eab9d07eeb35b8ef2b,899825838,2026-08-24T05:33:31.789446+00:00,415,31,5,24,13,0,54,170,32,0,0,0,0,0,1,13,0,23,13,D001,D002,2,4,2,1,M3,
1748526df44240f18ce125e552c8662d,735034881,2026-08-24T05:33:31.806257+00:00,433,34,4,27,8,0,51,182,34,0,0,0,0,0,1,15,0,17,3,D001,D002,5,1,4,1,M3,
7b308e490bb04e9b9c9afad672dc216d,1985392498,2026-08-24T05:33:31.827089+00:00,433,31,6,27,10,0,49,182,33,0,0,0,0,0,0,14,1,12,13,D001,D002,0,6,4,3,M3,
70816f99919746deba07e5dbf955848d,943239974,2026-08-24T05:33:31.847298+00:00,324,25,4,15,10,0,45,127,31,0,0,0,0,0,0,12,0,23,24,D001,D002,3,9,3,2,M3,
450457c260fb4598b2eb5aadc20ca108,983753977,2026-08-24T05:33:31.863921+00:00,412,33,1,27,10,0,54,167,32,0,0,0,0,0,1,13,1,20,17,D001,D002,2,6,2,2,M3,
9ae71cd61d7a4cec9457151b2944fb75,1722989659,2026-08-24T05:33:31.882813+00:00,306,23,1,18,7,0,37,125,29,0,0,0,0,0,0,10,1,12,23,D001,D002,4,11,1,3,M3,
2470e61ded8f47fb943ea9eeb2fd0039,906164396,2026-08-24T05:33:31.897475+00:00,235,16,2,17,4,0,23,97,20,0,0,0,0,0,0,10,0,25,0,D001,D002,6,6,5,2,M3,
e0a314a7f50e4e0994886adaafeaa434,2144181937,2026-08-24T05:33:31.909069+00:00,463,34,4,30,12,0,59,195,32,0,0,0,0,0,0,13,1,17,13,D001,D002,3,1,5,2,M3,
a9a59df1bfa04c65803817b3565cb744,613628803,2026-08-24T05:33:31.930569+00:00,423,28,4,29,13,0,51,180,29,0,0,0,0,0,1,13,0,22,0,D001,D002,2,5,4,2,M3,
e26145644e1243a6b4cb6eb79483da3f,1059257080,2026-08-24T05:33:31.950008+00:00,198,17,0,13,3,0,22,83,17,0,0,0,0,0,0,8,0,23,0,D001,D002,4,6,5,0,M3,
b53f9d2077f94271b622f8d4883e6a74,1715412119,2026-08-24T05:33:31.959669+00:00,314,28,0,19,7,0,36,133,27,0,0,0,0,0,1,14,0,18,0,D001,D002,5,4,4,3,M3,
c61977887f084a259eb872e9acdf017c,594130308,2026-08-24T05:33:31.975607+00:00,402,28,3,26,10,0,48,167,32,0,0,0,0,0,0,13,1,15,10,D001,D002,4,7,0,4,M3,
105db931d1e242808aec7de1f27658c8,202363285,2026-08-24T05:33:31.995517+00:00,454,35,3,30,10,0,54,194,33,0,0,0,0,0,1,14,1,2,19,D001,D002,1,4,3,5,M3,
39ee04d0659c44f5a3035bb14710db3a,687117441,2026-08-24T05:33:32.016697+00:00,443,30,5,28,12,0,55,183,33,0,0,0,0,0,1,14,1,1,21,D001,D002,2,6,3,2,M3,
ec03e50e6b1c4b0cabe6c69d4b8f9ffc,1652563013,2026-08-24T05:33:32.036215+00:00,323,21,1,25,7,0,36,134,25,0,0,0,0,1,0,9,1,0,23,D001,D002,5,8,0,5,M3,
ddb1d1094f4d406eac1038ab1aa3348d,1079815404,2026-08-24T05:33:32.051512+00:00,362,26,5,22,9,0,47,142,30,0,0,0,0,0,0,11,0,22,18,D001,D002,3,6,1,3,M3,
fa46eb061cc44bd283a27578969be87e,1146005448,2026-08-24T05:33:32.068218+00:00,522,39,5,33,13,0,64,225,34,0,0,0,0,0,0,15,1,18,1,D001,D002,0,0,3,2,M3,
57f7f532286f4defa76bc526d2887de0,1260573448,2026-08-24T05:33:32.091365+00:00,412,30,2,28,10,0,48,172,32,0,0,0,0,0,1,13,1,9,21,D001,D002,4,6,3,1,M3,
8e024f17a3164a77b5273f2a202da4d6,1948728483,2026-08-24T05:33:32.110718+00:00,426,30,5,27,10,0,54,173,33,0,0,0,0,0,1,14,1,23,16,D001,D002,3,5,2,0,M3,
bd20a8b0c6f741d7b3777d61cdff34d4,767303988,2026-08-24T05:33:32.130816+00:00,318,21,1,21,9,0,37,129,29,0,0,0,0,0,1,10,1,5,24,D001,D002,7,10,1,3,M3,
23d0938acc1b4c51b44a02e3f1c8d142,854316681,2026-08-24T05:33:32.148175+00:00,310,22,4,16,9,0,37,125,30,0,0,0,0,0,0,11,1,25,8,D001,D002,5,9,3,1,M3,
47c573d1b8094a6a88fcb63ebe5e0ea0,693847829,2026-08-24T05:33:32.162617+00:00,317,22,2,21,8,0,38,129,27,0,0,0,0,0,0,12,0,18,0,D001,D002,4,9,5,1,M3,
1c0c6be3c6ee4e9a93553385d3f01467,2098545541,2026-08-24T05:33:32.177057+00:00,433,29,2,33,10,0,47,184,31,0,0,0,0,0,0,13,0,13,0,D001,D002,2,8,3,0,M3,
38dd091131054f3681cdab11361fe98b,1558990517,2026-08-24T05:33:32.198666+00:00,429,33,2,28,9,0,54,181,32,0,0,0,0,0,1,13,1,9,13,D001,D002,3,4,2,1,M3,
56e966cfcc344eeeb8f3dbd3175983af,248786714,2026-08-24T05:33:32.217948+00:00,395,33,3,23,8,0,47,164,33,0,0,0,0,0,0,14,1,16,18,D001,D002,4,3,2,5,M3,
1da3bef9533e40e48743e9d38782d2a8,367878761,2026-08-24T05:33:32.236477+00:00,416,31,3,26,11,0,50,176,32,0,0,0,0,0,1,13,1,21,5,D001,D002,3,5,2,3,M3,
a5f02b43df774e7cab648cc54300ad07,540137296,2026-08-24T05:33:32.255935+00:00,306,18,2,23,9,0,36,131,20,0,0,0,0,0,1,9,0,19,0,D001,D002,4,6,4,1,M3,
03fb55865c0542869295261684bf627c,709214891,2026-08-24T05:33:32.269183+00:00,390,28,3,24,10,0,46,165,31,0,0,0,0,0,0,12,1,20,13,D001,D002,3,7,2,4,M3,
